R_2AMACHYD	10691
R_r2103	10922
R_r2104	10922
R_r2105	10922
R_r2106	10922
R_r2107	10922
R_r2108	10922
R_r2109	10922
R_r2110	10922
R_r2111	10922
R_r2112	10922
R_r2113	10922
R_r2114	10922
R_r2115	10922
R_r2116	10922
R_r2117	10922
R_r2118	10922
R_r2119	10922
R_r2120	10922
R_r2121	10922
R_r2122	10922
R_r2123	10922
R_r2124	10922
R_r2125	10922
R_r2126	10922
R_r2127	10922
R_r2128	10922
R_r2129	10922
R_r2130	10922
R_r2131	10922
R_r2132	10922
R_r2133	10922
R_r2136	10929
R_r2139	10956
R_r2140	10956
R_r2141	10956
R_r2142	10956
R_r2143	10956
R_r2144	10956
R_r2145	10956
R_r2146	10956
R_r2147	10956
R_r2148	10956
R_r2149	10956
R_r2150	10956
R_r2151	10956
R_r2152	10956
R_r2153	10956
R_r2154	10956
R_r2155	10956
R_r2156	10956
R_r2157	10956
R_r2158	10956
R_r2159	10956
R_r2160	10956
R_r2161	10956
R_r2162	10956
R_r2163	10956
R_r2164	10956
R_r2165	10956
R_r2166	10956
R_r2167	10956
R_r2168	10956
R_r2169	10956
R_r2170	10956
R_r2171	10956
R_r2172	10956
R_r2173	10956
R_r2174	10956
R_r2175	10956
R_r2176	10956
R_r2177	10956
R_r2178	10956
R_r2179	10956
R_r2180	10956
R_r2181	10956
R_r2182	10956
R_r2183	10956
R_r2184	10956
R_r2185	10956
R_r2186	10956
R_r2187	10956
R_r2188	10956
R_r2189	10956
R_r2190	10956
R_r2191	10956
R_r2192	10956
R_r2193	10956
R_r2194	10956
R_r2195	10956
R_r2196	10956
R_r2197	10956
R_r2198	10959
R_r2199	10959
R_r2200	10959
R_r2201	10959
R_r2202	10959
R_r2203	10956
R_r2204	10956
R_r2205	10956
R_r2206	10956
R_r2207	10956
R_r2208	10956
R_r2209	10956
R_r2210	10956
R_r2211	10956
R_r2212	10956
R_r2213	10956
R_r2214	10956
R_r2215	10956
R_r2216	10956
R_r2217	10956
R_r2218	10959
R_r2219	10959
R_r2220	10959
R_r2221	10959
R_r2222	10959
R_r2223	10959
R_r2224	10959
R_r2225	10959
R_r2226	10959
R_r2227	10959
R_r2228	10959
R_r2229	10959
R_r2230	10959
R_r2231	10959
R_r2232	10959
R_r2233	10959
R_r2234	10959
R_r2235	10959
R_r2236	10959
R_r2237	10959
R_r2238	10959
R_r2239	10959
R_r2240	10959
R_r2241	10959
R_r2242	10959
R_r2243	10959
R_r2244	10959
R_r2245	10959
R_r2246	10959
R_r2247	10959
R_r2248	10959
R_r2249	10959
R_r2250	10959
R_r2251	10959
R_r2252	10959
R_r2253	10959
R_r2254	10959
R_r2255	10959
R_r2256	10959
R_r2257	10959
R_r2258	10959
R_r2259	10959
R_r2260	10959
R_r2261	10959
R_r2262	10959
R_r2263	10959
R_r2264	10959
R_r2265	10959
R_r2266	10959
R_r2267	10959
R_r2268	10959
R_r2269	10959
R_r2270	10959
R_r2271	10959
R_r2272	10959
R_r2273	10959
R_r2274	10959
R_r2275	10959
R_r2276	10959
R_r2277	10959
R_r2278	10959
R_r2279	10959
R_r2280	10959
R_r2281	10959
R_r2282	10959
R_r2283	10959
R_r2284	10959
R_r2285	10959
R_r2286	10959
R_r2287	10959
R_r2288	10959
R_r2289	10959
R_r2290	10959
R_r2291	10959
R_r2292	10959
R_r2293	10959
R_r2294	10959
R_r2295	10959
R_r2296	10959
R_r2297	10959
R_r2298	10959
R_r2299	10959
R_r2300	10959
R_r2301	10959
R_r2302	10959
R_r2303	10959
R_r2304	10959
R_r2305	10959
R_r2306	10959
R_r2307	10959
R_r2308	10956
R_r2309	10956
R_r2310	10956
R_r2311	10956
R_r2312	10956
R_r2313	10955
R_r2314	10955
R_r2315	10955
R_r2316	10955
R_r2317	10955
R_r2318	10955
R_r2319	10955
R_r2320	10955
R_r2321	10955
R_r2322	10955
R_r2323	10955
R_r2324	10955
R_r2325	10955
R_r2326	10955
R_r2327	10955
R_r2328	10955
R_r2329	10955
R_r2330	10955
R_r2331	10955
R_r2332	10955
R_r2333	10955
R_r2334	10955
R_r2335	10955
R_r2338	10963
R_r2370	10974
R_r2371	10979
R_r2372	10979
R_r2373	10979
R_r2374	10979
R_r2375	10979
R_r2376	10979
R_r2377	10979
R_r2378	10979
R_r2379	10979
R_r2380	10979
R_r2381	10979
R_r2382	10979
R_r2384	10979
R_r2385	10979
R_r2386	10979
R_r2387	10979
R_r2388	10979
R_r2389	10979
R_r2390	10979
R_r2391	10979
R_r2392	10979
R_r2393	10979
R_r2394	10979
R_r2395	22921
R_r2396	22921
R_r2397	22921
R_r2398	22921
R_r2399	22921
R_r2400	22921
R_r2401	22921
R_r2402	22921
R_r2403	22921
R_r2404	22921
R_r2405	22921
R_r2406	22921
R_r2407	22921
R_r2408	22921
R_r2409	22921
R_r2410	22921
R_r2411	22921
R_r2413	22921
R_r2416	22921
R_r2419	10980
R_r2420	10980
R_r2425	14409
R_r2433	1421
R_r2434	1421
R_r2436	1421
R_r2437	1421
R_r2438	1421
R_r2447	11001 or 16484
R_r2449	11002 or 16484
R_r2471	18761
R_r2473	4061
R_r2482	10956
R_r2483	10956
R_r2484	10956
R_r2485	10956
R_r2486	10956
R_r2487	10956
R_r2488	10956
R_r2489	10956
R_r2490	10956
R_r2491	10956
R_r2492	10956
R_r2493	10956
R_r2494	10956
R_r2495	10956
R_r2496	10956
R_r2497	61
R_r2498	61
R_r2499	61
R_r2501	61
R_r2502	61
R_r2503	61
R_r2505	51
R_r2516	10922
R_r2517	67
R_r2518	67
R_r2520	10981
R_r2525	9225
R_r2526	9225
R_r2532	9225
R_r2534	9225
R_r2535	9225
R_DCATDc	10996
R_34DHPHELAT1tc	
R_ASNPHELAT2tc	
R_CYSPHELAT2tc	
R_ILELAT1tc	
R_ILEPHELAT2tc	
R_LEUPHELAT2tc	
R_LINOFATPtc	
R_PALFATPtc	
R_THRPHELAT2tc	
R_TYRPHELAT2tc	
R_VALLAT1tc	
R_VALPHELAT2tc	
R_3HCO3_NAt	11030 or 18168
R_RTOTAL2FATPc	
R_SPRMTDe	10963
R_OROTGLUt	10971
