R_2AMACHYD	10691
R_r0010	1516
R_r0013	
R_r0016	17345 or 2295
R_r0021	4623
R_r0023	13397 or 2873
R_r0024	7872 or 7873 or 7876
R_r0027	12437 or 18155
R_r0028	24860 or 3363 or 3365
R_r0033	29932
R_r0034	2323
R_r0047	15769 or 17144 or 17818 or 17820 or 8021 or 8022
R_r0051	5157 and 626
R_r0055	
R_r0062	24436
R_r0068	15814 or 16091
R_r0074	406
R_r0081	18062 or 4552
R_r0082	5382
R_r0083	5382 or 5383 or (5384 and 5385 and 5386)
R_r0085	29878
R_r0093	3356 or 3358
R_r0097	15814 or 16091
R_r0113	23657
R_r0119	6176
R_r0120	4193
R_r0122	9020
R_r0127	
R_r0129	4250 or 4251 or 4259 or 4260
R_r0130	4250 or 4251 or 4259 or 4260
R_r0139	24860 or 3363 or 3365
R_r0142	11460
R_r0145	7872 or 7873 or 7876
R_r0149	24860 or 3363 or 3365
R_r0153	9020
R_r0156	
R_r0157	
R_r0160	341
R_r0163	8124
R_r0165	9020
R_r0166	6176
R_r0170	3629
R_r0173	6535 or 6541 or 6544
R_r0178	408
R_r0179	
R_r0181	24860 or 3363 or 3365
R_r0186	14404
R_r0191	8876
R_r0193	2501
R_r0196	396 or 397
R_r0202	4455
R_r0208	22923 or 22932
R_r0210	1550
R_r0220	15814 or 16091 or 24723
R_r0221	15814 or 16091 or 24723
R_r0224	2861
R_r0226	2861
R_r0236	
R_r0239	20910
R_r0242	438
R_r0245	380 or 381
R_r0246	380 or 381
R_r0249	10297
R_r0267	
R_r0268	
R_r0280	9020
R_r0281	80
R_r0283	
R_r0287	(4803 and 82 and 93) or (4803 and 82 and 94) or (4803 and 83 and 93) or (4803 and 83 and 94)
R_r0295	473
R_r0301	4378
R_r0308	18431 or 19748 or 24157 or 33128 or 9325 or 9326
R_r0309	18281 or 19691
R_r0310	119 or 121 or 88 or 89 or 92
R_r0311	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r0317	117 or 118
R_r0318	15814 or 16091 or 24723
R_r0319	15814 or 16091 or 24723
R_r0321	21298
R_r0330	
R_r0331	
R_r0339	
R_r0340	
R_r0345	20091 or 361 or 362 or 363 or 365
R_r0354	4195 or 4922 or 4923 or 4925
R_r0355	4195 or 4922 or 4923 or 4925
R_r0357	4922 or 4923 or 4925
R_r0358	4922 or 4923 or 4925
R_r0360	4922 or 4923 or 4925
R_r0361	4922 or 4923 or 4925
R_r0363	4922 or 4923 or 4925
R_r0364	4922 or 4923 or 4925
R_r0365	
R_r0377	2704
R_r0380	4298
R_r0383	(8806 and 8808) or 8807
R_r0384	8124
R_r0385	32393 and 986 and 987
R_r0386	32393 and 986 and 987
R_r0388	30260
R_r0389	30260
R_r0390	10856
R_r0391	9755
R_r0392	403 or 404 or 407 or 412 or 877
R_r0393	403 or 404 or 407 or 412 or 877
R_r0394	12805
R_r0395	12805
R_r0398	9752
R_r0399	8582
R_r0400	
R_r0402	11257
R_r0403	12008 or 20692
R_r0407	414 or 417 or 418
R_r0408	8876
R_r0409	8876
R_r0410	6176
R_r0413	9020
R_r0422	5382 or 5383
R_r0423	5382 or 5383
R_r0424	5382 or 5383
R_r0425	5382 or 5383 or (5384 and 5385 and 5386)
R_r0426	117 or 118
R_r0430	2328 and 2330
R_r0431	2328 and 2330
R_r0432	2328 and 2330
R_r0433	2328 and 2330
R_r0434	2328 and 2330
R_r0437	2328 and 2330
R_r0438	2328 and 2330
R_r0440	2328 and 2330
R_r0441	2328 and 2330
R_r0443	2328 and 2330
R_r0444	2328 and 2330
R_r0446	2328 and 2330
R_r0450	17929
R_r0451	8124
R_r0456	2858
R_r0463	5007
R_r0464	403 or 404 or 407 or 412 or 877
R_r0470	10451 and 10452 and 17296
R_r0472	10451 and 10452 and 17296
R_r0474	10451 and 10452 and 17296
R_r0475	10451 and 10452 and 17296
R_r0483	23
R_r0494	24860 or 3363 or 3365
R_r0497	24860 or 3363 or 3365
R_r0502	12805
R_r0504	12805
R_r0510	10571 or 21088
R_r0511	10571 or 21088
R_r0512	2861
R_r0514	2861
R_r0517	396 or 397
R_r0522	473
R_r0523	7437
R_r0525	17366
R_r0531	12562 or 14859
R_r0537	10817
R_r0539	23506
R_r0541	4189
R_r0545	405 or 409 or 410 or 411
R_r0546	405 or 409 or 410 or 411
R_r0547	405 or 409 or 410 or 411
R_r0548	405 or 409 or 410 or 411
R_r0549	403 or 404 or 407 or 412 or 877
R_r0552	877
R_r0553	877
R_r0555	2896
R_r0556	2911
R_r0557	2911
R_r0558	
R_r0559	553
R_r0560	90
R_r0561	2698
R_r0568	21705
R_r0570	8906
R_r0571	
R_r0573	10999
R_r0575	3629
R_r0578	15894 or 19365 or 19366 or 8598
R_r0579	15894 or 19365 or 19366 or 8598
R_r0580	
